# nmesh EoS output for T=0 and Y=0
# EoS_type = PwPhot
# nrows = 1024   <-- Number of rows
#
# 3 data columns in dimensionless units where G=c=1:
#   col1:  rho0 = baryonic mass density
#   col2:  epsl = kinetic energy per baryonic mass
#   col3:  P    = pressure
#
2.906622457913148e-09  2.250718222471804e-04  2.334992244880467e-13
2.979485752044893e-09  2.270696126245308e-04  2.414771394879922e-13
3.054175585298442e-09  2.290851358588419e-04  2.497276340987933e-13
3.130737745408266e-09  2.311185493508727e-04  2.582600214861413e-13
3.209219167917063e-09  2.331700118989311e-04  2.670839330165457e-13
3.289667964949017e-09  2.352396837104198e-04  2.762093291292262e-13
3.372133454704406e-09  2.373277264153817e-04  2.856465105794686e-13
3.456666191693575e-09  2.394343030778234e-04  2.954061300661292e-13
3.543317997728768e-09  2.415595782097046e-04  3.054992042564080e-13
3.632141993692860e-09  2.437037177831503e-04  3.159371262214696e-13
3.723192632104535e-09  2.458668892431071e-04  3.267316782969561e-13
